Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
34,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
35,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
36,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
37,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
38,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
39,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
40,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
41,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
42,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
43,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
44,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
45,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
46,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
47,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
48,0.7,0.0028,-12.8,0.13999999999999999,13,2.23606797749979,11,0,0.0,0
49,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,6,1.3694832979641993,6
50,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
51,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
52,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
53,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
54,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
55,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
56,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
57,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
58,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
59,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
60,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
61,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
62,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
63,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
64,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
65,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
66,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
67,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
68,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
69,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
70,0.7,0.0028,-12.8,0.13999999999999999,19,3.605551275463989,17,0,0.0,0
71,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,6,0.8665846795355905,6
72,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
73,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
74,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
75,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
76,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
77,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
78,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
79,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
80,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
81,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
82,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
83,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
84,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
85,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
86,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
87,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
88,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
89,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
90,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
91,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
92,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
93,0.7,0.0028,-12.8,0.13999999999999999,25,4.47213595499958,23,0,0.0,0
94,0.7,0.0028,-12.8,0.13999999999999999,31,5.830951894845301,29,6,1.3588159398457211,6
95,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,12,0.0,10
96,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
97,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
98,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
99,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
100,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
101,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
102,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
103,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
104,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
105,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
106,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
107,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
108,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
109,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
110,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
111,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
112,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
113,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
114,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
115,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
116,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
117,0.7,0.0028,-12.8,0.13999999999999999,43,5.830951894845301,39,0,0.0,0
118,0.7,0.0028,-12.8,0.13999999999999999,49,6.708203932499369,45,6,0.8772520376540687,6
119,0.7,0.0028,-12.8,0.13999999999999999,49,6.708203932499369,45,0,0.0,0
120,0.7,0.0028,-12.8,0.13999999999999999,61,6.708203932499369,51,12,0.0,6
121,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,12,0.0,4
122,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
123,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
124,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
125,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
126,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
127,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
128,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
129,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
130,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
131,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
132,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
133,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
134,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
135,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
136,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
137,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
138,0.7,0.0028,-12.8,0.13999999999999999,73,6.708203932499369,55,0,0.0,0
139,0.7,0.0028,-12.8,0.13999999999999999,79,6.708203932499369,43,6,0.0,-12
140,0.7,0.0028,-12.8,0.13999999999999999,79,6.708203932499369,43,0,0.0,0
141,0.7,0.0028,-12.8,0.13999999999999999,79,6.708203932499369,43,0,0.0,0
142,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,18,1.3540538157991797,12
143,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
144,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
145,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
146,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
147,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
148,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
149,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
150,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
151,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
152,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
153,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
154,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
155,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
156,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
157,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
158,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
159,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
160,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
161,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
162,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
163,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
164,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
165,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
166,0.7,0.0028,-12.8,0.13999999999999999,97,8.06225774829855,55,0,0.0,0
167,0.7,0.0028,-12.8,0.13999999999999999,103,8.94427190999916,61,6,0.8820141617006101,6
168,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,12,0.0,6
169,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
170,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
171,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
172,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
173,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
174,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
175,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
176,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
177,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
178,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
179,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
180,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
181,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
182,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
183,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
184,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
185,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
186,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
187,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
188,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
189,0.7,0.0028,-12.8,0.13999999999999999,115,8.94427190999916,67,0,0.0,0
190,0.7,0.0028,-12.8,0.13999999999999999,127,8.94427190999916,74,12,0.0,7
191,0.7,0.0028,-12.8,0.13999999999999999,127,8.94427190999916,74,0,0.0,0
192,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,6,1.3513582309878416,5
193,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
194,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
195,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
196,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
197,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
198,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
199,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
200,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
201,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
202,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
203,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
204,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
205,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
206,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
207,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
208,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
209,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
210,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
211,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
212,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
213,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
214,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
215,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
216,0.7,0.0028,-12.8,0.13999999999999999,133,10.295630140987,79,0,0.0,0
217,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,18,0.8847097465119482,12
218,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
219,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
220,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
221,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
222,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
223,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
224,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
225,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
226,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
227,0.7,0.0028,-12.8,0.13999999999999999,151,11.180339887498949,91,0,0.0,0
228,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,12,0.0,4
229,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
230,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
231,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
232,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
233,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
234,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
235,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
236,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
237,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
238,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
239,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
240,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
241,0.7,0.0028,-12.8,0.13999999999999999,163,11.180339887498949,95,0,0.0,0
242,0.7,0.0028,-12.8,0.13999999999999999,175,11.180339887498949,102,12,0.0,7
243,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,6,1.3496241986427187,5
244,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
245,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
246,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
247,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
248,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
249,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
250,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
251,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
252,0.7,0.0028,-12.8,0.13999999999999999,181,12.529964086141668,107,0,0.0,0
253,0.7,0.0028,-12.8,0.13999999999999999,193,12.529964086141668,107,12,0.0,0
254,0.7,0.0028,-12.8,0.13999999999999999,193,12.529964086141668,107,0,0.0,0
255,0.7,0.0028,-12.8,0.13999999999999999,193,12.529964086141668,107,0,0.0,0
256,0.7,0.0028,-12.8,0.13999999999999999,205,12.529964086141668,107,12,0.0,0
257,0.7,0.0028,-12.8,0.13999999999999999,217,12.529964086141668,107,12,0.0,0
258,0.7,0.0028,-12.8,0.13999999999999999,217,12.529964086141668,107,0,0.0,0
259,0.7,0.0028,-12.8,0.13999999999999999,217,12.529964086141668,107,0,0.0,0
260,0.7,0.0028,-12.8,0.13999999999999999,217,12.529964086141668,107,0,0.0,0
261,0.7,0.0028,-12.8,0.13999999999999999,217,12.529964086141668,107,0,0.0,0
262,0.7,0.0028,-12.8,0.13999999999999999,217,12.529964086141668,107,0,0.0,0
263,0.7,0.0028,-12.8,0.13999999999999999,217,12.529964086141668,107,0,0.0,0
264,0.7,0.0028,-12.8,0.13999999999999999,217,12.529964086141668,107,0,0.0,0
265,0.7,0.0028,-12.8,0.13999999999999999,229,12.529964086141668,114,12,0.0,7
266,0.7,0.0028,-12.8,0.13999999999999999,229,12.529964086141668,114,0,0.0,0
267,0.7,0.0028,-12.8,0.13999999999999999,229,12.529964086141668,114,0,0.0,0
268,0.7,0.0028,-12.8,0.13999999999999999,229,12.529964086141668,114,0,0.0,0
269,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,6,0.8864437788570712,5
270,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
271,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
272,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
273,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
274,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
275,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
276,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
277,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
278,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
279,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
280,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
281,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
282,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
283,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
284,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
285,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
286,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
287,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
288,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
289,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
290,0.7,0.0028,-12.8,0.13999999999999999,235,13.416407864998739,119,0,0.0,0
291,0.7,0.0028,-12.8,0.13999999999999999,247,13.416407864998739,117,12,0.0,-2
292,0.7,0.0028,-12.8,0.13999999999999999,247,13.416407864998739,117,0,0.0,0
293,0.7,0.0028,-12.8,0.13999999999999999,247,13.416407864998739,117,0,0.0,0
294,0.7,0.0028,-12.8,0.13999999999999999,259,13.416407864998739,124,12,0.0,7
295,0.7,0.0028,-12.8,0.13999999999999999,265,14.7648230602334,129,6,1.3484151952346615,5
296,0.7,0.0028,-12.8,0.13999999999999999,265,14.7648230602334,129,0,0.0,0
297,0.7,0.0028,-12.8,0.13999999999999999,265,14.7648230602334,129,0,0.0,0
298,0.7,0.0028,-12.8,0.13999999999999999,265,14.7648230602334,129,0,0.0,0
299,0.7,0.0028,-12.8,0.13999999999999999,265,14.7648230602334,129,0,0.0,0
300,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,12,0.0,0
301,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,0,0.0,0
302,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,0,0.0,0
303,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,0,0.0,0
304,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,0,0.0,0
305,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,0,0.0,0
306,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,0,0.0,0
307,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,0,0.0,0
308,0.7,0.0028,-12.8,0.13999999999999999,277,14.7648230602334,129,0,0.0,0
