Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
49,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,6,0.8665846795355905,6
50,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
51,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
52,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
53,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
54,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
55,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
56,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
57,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
58,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
59,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
60,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
61,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
62,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
63,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
64,1.0,0.0046,-14.0,0.22999999999999998,25,4.47213595499958,23,0,0.0,0
65,1.0,0.0046,-14.0,0.22999999999999998,31,5.830951894845301,29,6,1.3588159398457211,6
66,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,12,0.0,10
67,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
68,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
69,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
70,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
71,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
72,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
73,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
74,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
75,1.0,0.0046,-14.0,0.22999999999999998,43,5.830951894845301,39,0,0.0,0
76,1.0,0.0046,-14.0,0.22999999999999998,55,5.830951894845301,43,12,0.0,4
77,1.0,0.0046,-14.0,0.22999999999999998,55,5.830951894845301,43,0,0.0,0
78,1.0,0.0046,-14.0,0.22999999999999998,55,5.830951894845301,43,0,0.0,0
79,1.0,0.0046,-14.0,0.22999999999999998,55,5.830951894845301,43,0,0.0,0
80,1.0,0.0046,-14.0,0.22999999999999998,55,5.830951894845301,43,0,0.0,0
81,1.0,0.0046,-14.0,0.22999999999999998,67,5.830951894845301,50,12,0.0,7
82,1.0,0.0046,-14.0,0.22999999999999998,73,6.708203932499369,55,6,0.8772520376540687,5
83,1.0,0.0046,-14.0,0.22999999999999998,73,6.708203932499369,55,0,0.0,0
84,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,6,0.0,-12
85,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
86,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
87,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
88,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
89,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
90,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
91,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
92,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
93,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
94,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
95,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
96,1.0,0.0046,-14.0,0.22999999999999998,79,6.708203932499369,43,0,0.0,0
97,1.0,0.0046,-14.0,0.22999999999999998,91,6.708203932499369,50,12,0.0,7
98,1.0,0.0046,-14.0,0.22999999999999998,91,6.708203932499369,50,0,0.0,0
99,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,6,1.3540538157991797,5
100,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
101,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
102,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
103,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
104,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
105,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
106,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
107,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
108,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
109,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
110,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
111,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
112,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
113,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
114,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
115,1.0,0.0046,-14.0,0.22999999999999998,97,8.06225774829855,55,0,0.0,0
116,1.0,0.0046,-14.0,0.22999999999999998,103,8.94427190999916,61,6,0.8820141617006101,6
117,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,12,0.0,6
118,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
119,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
120,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
121,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
122,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
123,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
124,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
125,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
126,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
127,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
128,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
129,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
130,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
131,1.0,0.0046,-14.0,0.22999999999999998,115,8.94427190999916,67,0,0.0,0
132,1.0,0.0046,-14.0,0.22999999999999998,127,8.94427190999916,74,12,0.0,7
133,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,6,1.3513582309878416,5
134,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
135,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
136,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
137,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
138,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
139,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
140,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
141,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
142,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
143,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
144,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
145,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
146,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
147,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
148,1.0,0.0046,-14.0,0.22999999999999998,133,10.295630140987,79,0,0.0,0
149,1.0,0.0046,-14.0,0.22999999999999998,145,10.295630140987,83,12,0.0,4
150,1.0,0.0046,-14.0,0.22999999999999998,157,10.295630140987,90,12,0.0,7
151,1.0,0.0046,-14.0,0.22999999999999998,163,11.180339887498949,95,6,0.8847097465119482,5
152,1.0,0.0046,-14.0,0.22999999999999998,163,11.180339887498949,95,0,0.0,0
153,1.0,0.0046,-14.0,0.22999999999999998,163,11.180339887498949,95,0,0.0,0
154,1.0,0.0046,-14.0,0.22999999999999998,163,11.180339887498949,95,0,0.0,0
155,1.0,0.0046,-14.0,0.22999999999999998,163,11.180339887498949,95,0,0.0,0
156,1.0,0.0046,-14.0,0.22999999999999998,163,11.180339887498949,95,0,0.0,0
157,1.0,0.0046,-14.0,0.22999999999999998,175,11.180339887498949,95,12,0.0,0
158,1.0,0.0046,-14.0,0.22999999999999998,175,11.180339887498949,95,0,0.0,0
159,1.0,0.0046,-14.0,0.22999999999999998,175,11.180339887498949,95,0,0.0,0
160,1.0,0.0046,-14.0,0.22999999999999998,175,11.180339887498949,95,0,0.0,0
161,1.0,0.0046,-14.0,0.22999999999999998,175,11.180339887498949,95,0,0.0,0
162,1.0,0.0046,-14.0,0.22999999999999998,175,11.180339887498949,95,0,0.0,0
163,1.0,0.0046,-14.0,0.22999999999999998,175,11.180339887498949,95,0,0.0,0
164,1.0,0.0046,-14.0,0.22999999999999998,175,11.180339887498949,95,0,0.0,0
165,1.0,0.0046,-14.0,0.22999999999999998,187,11.180339887498949,102,12,0.0,7
166,1.0,0.0046,-14.0,0.22999999999999998,187,11.180339887498949,102,0,0.0,0
167,1.0,0.0046,-14.0,0.22999999999999998,187,11.180339887498949,102,0,0.0,0
168,1.0,0.0046,-14.0,0.22999999999999998,187,11.180339887498949,102,0,0.0,0
169,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,6,1.3496241986427187,5
170,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
171,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
172,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
173,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
174,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
175,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
176,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
177,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
178,1.0,0.0046,-14.0,0.22999999999999998,193,12.529964086141668,107,0,0.0,0
179,1.0,0.0046,-14.0,0.22999999999999998,205,12.529964086141668,111,12,0.0,4
180,1.0,0.0046,-14.0,0.22999999999999998,205,12.529964086141668,111,0,0.0,0
181,1.0,0.0046,-14.0,0.22999999999999998,217,12.529964086141668,107,12,0.0,-4
182,1.0,0.0046,-14.0,0.22999999999999998,217,12.529964086141668,107,0,0.0,0
183,1.0,0.0046,-14.0,0.22999999999999998,217,12.529964086141668,107,0,0.0,0
184,1.0,0.0046,-14.0,0.22999999999999998,217,12.529964086141668,107,0,0.0,0
185,1.0,0.0046,-14.0,0.22999999999999998,217,12.529964086141668,107,0,0.0,0
186,1.0,0.0046,-14.0,0.22999999999999998,229,12.529964086141668,114,12,0.0,7
187,1.0,0.0046,-14.0,0.22999999999999998,235,13.416407864998739,119,6,0.8864437788570712,5
188,1.0,0.0046,-14.0,0.22999999999999998,235,13.416407864998739,119,0,0.0,0
189,1.0,0.0046,-14.0,0.22999999999999998,235,13.416407864998739,119,0,0.0,0
190,1.0,0.0046,-14.0,0.22999999999999998,235,13.416407864998739,119,0,0.0,0
191,1.0,0.0046,-14.0,0.22999999999999998,235,13.416407864998739,119,0,0.0,0
192,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,12,0.0,-2
193,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
194,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
195,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
196,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
197,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
198,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
199,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
200,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
201,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
202,1.0,0.0046,-14.0,0.22999999999999998,247,13.416407864998739,117,0,0.0,0
203,1.0,0.0046,-14.0,0.22999999999999998,259,13.416407864998739,124,12,0.0,7
204,1.0,0.0046,-14.0,0.22999999999999998,259,13.416407864998739,124,0,0.0,0
205,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,30,1.3484151952346615,5
206,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
207,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
208,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
209,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
210,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
211,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
212,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
213,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
214,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
215,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
216,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
217,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
218,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
219,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
220,1.0,0.0046,-14.0,0.22999999999999998,289,14.7648230602334,129,0,0.0,0
221,1.0,0.0046,-14.0,0.22999999999999998,301,14.7648230602334,136,12,0.0,7
222,1.0,0.0046,-14.0,0.22999999999999998,301,14.7648230602334,136,0,0.0,0
223,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,6,0.8876527822651283,5
224,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
225,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
226,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
227,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
228,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
229,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
230,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
231,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
232,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
233,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
234,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
235,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
236,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
237,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
238,1.0,0.0046,-14.0,0.22999999999999998,307,15.652475842498529,141,0,0.0,0
239,1.0,0.0046,-14.0,0.22999999999999998,319,15.652475842498529,148,12,0.0,7
240,1.0,0.0046,-14.0,0.22999999999999998,319,15.652475842498529,148,0,0.0,0
241,1.0,0.0046,-14.0,0.22999999999999998,325,17.0,153,6,1.3475241575014714,5
242,1.0,0.0046,-14.0,0.22999999999999998,325,17.0,153,0,0.0,0
243,1.0,0.0046,-14.0,0.22999999999999998,325,17.0,153,0,0.0,0
244,1.0,0.0046,-14.0,0.22999999999999998,325,17.0,153,0,0.0,0
245,1.0,0.0046,-14.0,0.22999999999999998,337,17.0,153,12,0.0,0
246,1.0,0.0046,-14.0,0.22999999999999998,349,17.0,157,12,0.0,4
247,1.0,0.0046,-14.0,0.22999999999999998,361,17.0,165,12,0.0,8
248,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,12,0.0,-4
249,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,0,0.0,0
250,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,0,0.0,0
251,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,0,0.0,0
252,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,0,0.0,0
253,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,0,0.0,0
254,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,0,0.0,0
255,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,0,0.0,0
256,1.0,0.0046,-14.0,0.22999999999999998,373,17.0,161,0,0.0,0
257,1.0,0.0046,-14.0,0.22999999999999998,397,17.0,172,24,0.0,11
258,1.0,0.0046,-14.0,0.22999999999999998,397,17.0,172,0,0.0,0
259,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,6,0.8885438199983184,5
260,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
261,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
262,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
263,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
264,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
265,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
266,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
267,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
268,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
269,1.0,0.0046,-14.0,0.22999999999999998,403,17.88854381999832,177,0,0.0,0
270,1.0,0.0046,-14.0,0.22999999999999998,415,17.88854381999832,177,12,0.0,0
271,1.0,0.0046,-14.0,0.22999999999999998,415,17.88854381999832,177,0,0.0,0
272,1.0,0.0046,-14.0,0.22999999999999998,415,17.88854381999832,177,0,0.0,0
273,1.0,0.0046,-14.0,0.22999999999999998,415,17.88854381999832,177,0,0.0,0
274,1.0,0.0046,-14.0,0.22999999999999998,415,17.88854381999832,177,0,0.0,0
275,1.0,0.0046,-14.0,0.22999999999999998,427,17.88854381999832,184,12,0.0,7
276,1.0,0.0046,-14.0,0.22999999999999998,427,17.88854381999832,184,0,0.0,0
277,1.0,0.0046,-14.0,0.22999999999999998,433,19.235384061671343,189,6,1.346840241673025,5
278,1.0,0.0046,-14.0,0.22999999999999998,433,19.235384061671343,189,0,0.0,0
279,1.0,0.0046,-14.0,0.22999999999999998,439,19.235384061671343,171,6,0.0,-18
280,1.0,0.0046,-14.0,0.22999999999999998,439,19.235384061671343,171,0,0.0,0
281,1.0,0.0046,-14.0,0.22999999999999998,439,19.235384061671343,171,0,0.0,0
282,1.0,0.0046,-14.0,0.22999999999999998,439,19.235384061671343,171,0,0.0,0
283,1.0,0.0046,-14.0,0.22999999999999998,439,19.235384061671343,171,0,0.0,0
284,1.0,0.0046,-14.0,0.22999999999999998,439,19.235384061671343,171,0,0.0,0
285,1.0,0.0046,-14.0,0.22999999999999998,439,19.235384061671343,171,0,0.0,0
286,1.0,0.0046,-14.0,0.22999999999999998,439,19.235384061671343,171,0,0.0,0
287,1.0,0.0046,-14.0,0.22999999999999998,451,19.235384061671343,171,12,0.0,0
288,1.0,0.0046,-14.0,0.22999999999999998,451,19.235384061671343,171,0,0.0,0
289,1.0,0.0046,-14.0,0.22999999999999998,451,19.235384061671343,171,0,0.0,0
290,1.0,0.0046,-14.0,0.22999999999999998,451,19.235384061671343,171,0,0.0,0
291,1.0,0.0046,-14.0,0.22999999999999998,451,19.235384061671343,171,0,0.0,0
292,1.0,0.0046,-14.0,0.22999999999999998,451,19.235384061671343,171,0,0.0,0
293,1.0,0.0046,-14.0,0.22999999999999998,463,19.235384061671343,178,12,0.0,7
294,1.0,0.0046,-14.0,0.22999999999999998,463,19.235384061671343,178,0,0.0,0
295,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,18,0.8892277358267648,17
296,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
297,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
298,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
299,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
300,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
301,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
302,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
303,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
304,1.0,0.0046,-14.0,0.22999999999999998,481,20.12461179749811,195,0,0.0,0
305,1.0,0.0046,-14.0,0.22999999999999998,493,20.12461179749811,195,12,0.0,0
306,1.0,0.0046,-14.0,0.22999999999999998,493,20.12461179749811,195,0,0.0,0
307,1.0,0.0046,-14.0,0.22999999999999998,493,20.12461179749811,195,0,0.0,0
308,1.0,0.0046,-14.0,0.22999999999999998,493,20.12461179749811,195,0,0.0,0
